n,residue_mod_16,alpha,separation_index,arc_vertices,complement_vertices,arc_bulk_cells,lambda_1,lambda_2,lambda_1_squared,lambda_2_squared,rho_squared,mean_interface_level_squared,level_splitting_squared,mean_gap_from_c6
108,12,-1,7,34,74,7,2.8119497864027654,2.8113240224202545,7.9070616012505575,7.903542759037199,7.9070616012505575,7.905302180143878,0.0035188422133582975,-6.71314764488784e-05
108,12,1,7,34,74,7,2.8119529446475666,2.8113202989912534,7.907079362912121,7.90352182352027,7.907079362912126,7.905300593216196,0.0035575393918509945,-6.871840413147368e-05
108,12,-1,8,38,70,8,2.81170317500111,2.8115933262047013,7.905674744311323,7.905057031958815,7.908204796298911,7.905365888135069,0.0006177123525077377,-3.423485257947334e-06
108,12,1,8,38,70,8,2.8117189922910444,2.811576970118348,7.905763691610166,7.90496505889987,7.908215014481995,7.905364375255018,0.0007986327102962321,-4.936365309404778e-06
108,12,-1,9,42,66,9,2.8117543546405948,2.8115399397357406,7.905962550840347,7.904756832729252,7.905962550840347,7.905359691784799,0.0012057181110955995,-9.619835528162923e-06
108,12,1,9,42,66,9,2.8117638192464938,2.8115299067438344,7.906015775223629,7.904700416514994,7.906015775223629,7.905358095869312,0.0013153587086351948,-1.1215751015036801e-05
108,12,-1,10,46,62,10,2.811649197513802,2.8116483938094454,7.9053712098800055,7.905366690411235,7.90637835274041,7.90536895014562,4.519468770780577e-06,-3.6147470705572005e-07
108,12,1,10,46,62,10,2.811694793067445,2.8116022370286182,7.9056276093625835,7.90510713926433,7.906409912997821,7.905367374313457,0.0005204700982535115,-1.9373068704808816e-06
108,12,-1,11,50,58,11,2.811674328210604,2.811623055553789,7.905512527918551,7.905224206521625,7.905512527918551,7.905368367220088,0.0002883213969262499,-9.444002389003003e-07
108,12,1,11,50,58,11,2.8117018093602186,2.811595004621066,7.905667064759527,7.905066470010131,7.9056670647595295,7.9053667673848285,0.0006005947493958885,-2.544235498724845e-06
108,12,-1,12,54,54,12,2.811705415140292,2.811591230047202,7.905687341529241,7.905045244878339,7.905687341529241,7.90536629320379,0.0006420966509015358,-3.0184165371593963e-06
108,12,1,12,54,54,12,2.8117218088708995,2.811574268047921,7.905779530480243,7.904949864749202,7.905779530480243,7.905364697614722,0.0008296657310404854,-4.614005605141358e-06
116,4,-1,0,6,110,0,2.830996512086993,2.793166308886966,8.01454125144872,7.801778029101238,8.062095285170287,7.908159640274979,0.21276322234748246,0.002790328654652008
116,4,1,0,6,110,0,2.8309965115110733,2.793801031238201,8.014541248187866,7.805324202147636,8.062095285315193,7.909932725167751,0.20921704604023006,0.004563413547423956
116,4,-1,1,10,106,1,2.8128564822899658,2.804272112442055,7.9121615899606805,7.863942080620225,7.9121615899606805,7.888051835290453,0.0482195093404556,-0.01731747632987446
116,4,1,1,10,106,1,2.8128565154511773,2.8042714772088724,7.91216177651614,7.863938517887231,7.912161776516142,7.888050147201685,0.04822325862890864,-0.017319164418641897
116,4,-1,2,14,102,2,2.8129613523333146,2.8100587007313145,7.91275156972087,7.896429901555763,7.959134662684723,7.904590735638316,0.01632166816510683,-0.0007785759820109206
116,4,1,2,14,102,2,2.81296118214366,2.8100590897752373,7.912750612247058,7.896432088028435,7.959134678301348,7.904591350137746,0.01631852421862323,-0.0007779614825809134
116,4,-1,3,18,98,3,2.813355787295616,2.8090443477744214,7.914970785909735,7.890730147763424,7.914970785909737,7.902850466836579,0.024240638146310722,-0.0025188447837480865
